Timestamp,Artichokes,Arugula,Asparagus,Bush beans (green beans),Pole beans(green beans),Beets,Bok Choy,Broccoli,Brussel Sprouts,Cabbage,Carrots,Cauliflower,Celery,Chives,Collards,Corn,Cucumbers,Eggplant,Garlic,Kale,Leeks,Lettuce,Mustard Greens,Onions,Parsnips,Peas,Peppers,Potatoes,Pumpkin,Radishes,Rhubarb,Rutabaga,Shallots,Spinach,Summer Squash,Winter Squash,Swiss Chard,Tomatoes,Turnips
10/12/2021 17:47:21,5,5,5,4,4,1,3,5,5,5,5,5,2,4,3,4,2,2,5,5,4,5,3,5,3,5,5,5,3,1,2,2,4,5,1,1,3,5,2
10/12/2021 17:57:50,2,4,2,4,2,1,1,3,1,1,5,5,5,5,1,5,4,1,5,4,1,5,1,4,1,1,5,3,1,1,1,1,3,5,1,1,1,4,1
10/12/2021 18:17:26,3,3,5,3,3,1,1,4,3,2,3,1,3,4,1,5,1,4,5,1,1,4,1,5,1,4,5,5,2,1,2,1,5,5,1,1,1,4,1
10/12/2021 18:18:15,4,2,1,2,2,2,3,3,3,2,5,4,2,3,2,5,1,2,5,2,2,2,2,2,2,2,3,5,2,3,2,2,2,2,2,2,2,1,2
10/12/2021 18:21:26,3,2,5,5,5,1,1,5,1,1,5,3,4,1,1,5,5,2,5,1,1,5,1,1,1,4,1,5,4,1,1,1,1,1,1,1,1,5,1
10/12/2021 18:24:00,4,1,4,3,3,4,4,4,5,2,5,4,3,3,5,5,4,3,5,5,4,4,1,5,3,4,4,5,5,5,1,4,1,4,4,4,1,5,5
10/12/2021 18:24:16,4,2,4,5,5,1,4,5,5,5,5,5,5,5,5,5,1,4,5,1,3,4,4,5,4,5,4,5,4,3,3,3,5,5,5,5,5,4,4
10/12/2021 18:26:45,4,5,5,4,4,4,4,3,5,4,4,1,1,5,4,2,5,2,5,3,3,3,3,4,3,3,5,5,4,3,3,3,5,4,3,3,3,4,4
10/12/2021 18:27:59,5,5,2,1,3,5,1,1,1,1,4,5,1,1,1,5,3,1,5,1,5,3,1,4,1,2,5,5,5,5,1,1,1,2,1,1,1,2,5
10/12/2021 18:30:05,2,3,5,3,3,1,5,5,5,2,5,4,3,5,3,2,4,1,5,3,5,4,3,5,5,4,5,5,2,3,2,2,5,5,4,2,3,5,2
10/12/2021 18:30:16,3,3,4,4,3,2,3,4,3,2,5,5,4,3,2,4,5,5,5,3,3,4,2,5,4,4,4,3,2,2,2,2,4,3,3,3,2,5,4
10/12/2021 18:35:43,3,3,4,3,3,2,2,2,2,2,4,3,4,5,2,5,5,5,5,2,5,5,1,5,4,3,5,5,3,3,2,2,5,5,3,3,2,5,3
10/12/2021 18:36:58,3,5,3,4,5,1,2,5,5,4,5,4,2,4,2,4,2,3,5,3,2,3,1,4,1,1,5,5,4,1,1,1,3,2,2,2,1,5,1
10/12/2021 18:41:59,2,3,5,5,5,1,1,5,1,4,4,5,5,4,1,5,3,3,5,1,1,5,1,3,1,5,3,5,1,1,1,1,1,5,5,3,1,2,1
10/12/2021 18:44:34,2,3,4,4,4,4,4,4,3,4,3,1,2,4,1,5,1,3,4,3,3,4,1,4,1,1,4,4,4,3,3,1,4,4,3,3,1,3,1
10/12/2021 18:47:00,1,5,5,4,4,1,3,5,5,3,4,4,3,3,3,2,1,3,5,5,1,3,1,5,3,1,5,5,5,1,4,1,3,5,5,5,1,4,1
10/12/2021 18:50:08,3,2,4,5,5,1,4,5,4,4,3,3,1,5,1,5,2,3,5,3,3,5,2,5,2,3,5,5,5,3,1,1,4,4,5,5,1,4,2
10/12/2021 18:56:15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,2,2,1,3,4,1,1,1,1,2,1,1,1,1,1,1
10/12/2021 18:57:28,3,2,1,4,4,1,2,4,1,4,4,4,3,4,3,3,3,4,5,3,3,3,3,4,3,3,5,4,4,3,3,3,4,5,5,5,3,4,3
10/12/2021 18:58:50,2,2,3,4,4,4,3,5,5,2,4,4,2,2,1,5,2,1,5,2,2,3,3,5,1,3,3,4,2,2,2,2,2,5,2,2,2,5,2
10/12/2021 19:03:47,3,4,2,4,2,1,1,5,3,3,5,3,3,5,1,5,5,4,5,2,3,5,3,5,3,5,5,5,2,2,3,1,5,3,2,1,2,5,3
10/12/2021 19:05:52,3,3,4,3,3,4,1,5,5,4,3,1,2,5,4,4,3,2,5,3,4,2,1,5,3,2,5,5,5,4,3,1,5,4,2,1,5,5,1
10/12/2021 19:09:38,2,4,5,5,5,1,3,5,2,5,5,3,3,4,2,5,5,2,5,4,4,5,2,5,4,5,5,5,2,2,2,2,4,4,4,4,2,1,2
10/12/2021 19:21:58,1,2,4,4,4,1,2,5,5,3,5,4,4,4,2,5,1,1,5,2,2,5,2,5,2,2,5,5,5,1,1,1,1,5,5,2,1,3,1
10/12/2021 19:26:51,3,3,4,4,4,4,5,4,4,3,5,2,3,5,3,4,5,2,4,3,5,4,3,5,5,5,4,5,4,4,3,2,5,4,4,4,2,4,4
10/12/2021 19:31:46,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,3,2,1,4,5,1,1,1,1,4,1,1,1,1,4,1
10/12/2021 19:52:15,3,3,1,5,5,2,2,5,3,3,5,5,1,5,3,5,5,3,5,3,3,5,3,5,5,5,5,5,5,3,1,1,5,5,5,5,2,2,3
