X,Y,OBJECTID,COUNTY_CD,COUNTY_SEA,ODOT_DISTR,FIPS_COUNT,POP_2010,POP_2000,POP_1990,STATE_PLAN,ELEVATION_,ELEVATION1,LAT_NORTH_,LAT_SOUTH_,LONG_EAST_,LONG_WEST_,AREA_SQMI,AREA_ID,created_us,created_da,last_edite,last_edi_1,SHAPE_STAr,SHAPE_STLe
504159.010912272,133800.175049923,1,HIG,HILLSBORO,9,39071,43589,40875,35728,S,1340,700,39.38,39.018,-83.344,-83.873,557.74,53,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2407747011.03,213157.740992
604314.092335197,167796.072850018,2,HOC,LOGAN,10,39073,29380,28241,25533,S,1220,640,39.662,39.362,-82.16,-82.748,423.5,54,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1844277420.49,215451.632241
648936.461890375,284229.486299981,3,HOL,MILLERSBURG,11,39075,42366,38943,32849,N,1380,800,40.669,40.443,-81.648,-82.222,424.03,55,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1905310357.61,193045.013152
592685.4710685,348833.656899973,4,HUR,NORWALK,3,39077,59626,59487,56240,N,1200,600,41.291,40.992,-82.336,-82.843,495.96,56,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2267372218.13,197349.121399
556185.8976159,218735.881699878,5,FRA,COLUMBUS,6,39049,1163414,1068978,961437,S,1130,670,40.144,39.794,-82.761,-83.255,543.97,143,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2401407215.01,211754.151636
589826.146812155,114046.822100059,6,JAC,JACKSON,9,39079,33225,32641,30230,S,1040,600,39.209,38.844,-82.425,-82.808,421.48,57,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1811215822.04,181741.701
749421.496382648,265231.744200476,7,JEF,STEUBENVILLE,11,39081,69709,73894,80298,N,1420,640,40.6,40.154,-80.599,-80.943,410.19,58,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1831673756.16,200548.00521
607280.585844699,267359.822050011,8,KNO,MOUNT VERNON,5,39083,60921,54500,47473,N,1420,840,40.573,40.238,-82.179,-82.752,529.53,59,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,2367312192.41,218434.393903
685056.09317465,196914.90544998,9,NOB,CALDWELL,10,39121,14645,14058,11336,S,1340,660,39.954,39.582,-81.233,-81.697,404.61,75,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1776240131.59,232986.2259
425881.571285275,348631.489700003,10,PAU,PAULDING,1,39125,19614,20293,20488,N,780,650,41.254,40.988,-84.34,-84.805,418.79,76,Esri_Anonymous,2015/08/11,Esri_Anonymous,2015/08/11,1913230959.8,180506.629948
