plant,sunlight,soil_condition,moisture_level,hardiness_zones,lifecycle,difficulty,height,spread,time_to_mature,flower_color,foliage_color,shape,frost_tolerance,special_att1,special_att2,special_use
Artichokes,full,well drained,high,6 to 9,perennial,3,3 to 6 feet,2 to 4 feet,85 - 100 days,violet,light green,spreading mass/upright,high,Not native to North America,none,edible landscaping
Arugula,full/partial shade,low fertility,medium,3 to 11,annual,1,1 to 2 feet,0.5 to 1 foot,4 - 7 weeks,white,medium green,"cushion, mound, upright",medium,Not native to North America,none,edible flowers
Asparagus,full/partial shade,well drained,low,2 to 8,perennial,2,5 to 9 feet,2 to 2.5 feet,2 - 3 years,green,light green,upright,low,Not native to North America,"Bears ornamental fruit - small, bright red berries on open-pollinated cultivars",edible landscaping
Bush beans,full,well drained,medium,3 to 10,annual,1,1 to 3 feet,1 to 2 feet,50 - 60 days,white,medium green,spreading mass,low,"Not native to North America but cultivated worldwide for 7,000 years",Bears ornamental fruit - some varieties have purple or yellow pods,edible landscaping
Pole beans,full,well drained,medium,3 to 10,annual,1,5 to 10 feet,1 to 2 feet,60 - 80 days,white,medium green,climbing/vine,low,"Not native to North America but cultivated worldwide for 7,000 years",none,edible landscaping
Beets,full/partial shade,low fertility,consistent,2 to 10,annual,1,3 to 5 inches,0.5 to 1 foot,7 - 8 weeks,n/a,medium green,"cushion, mound, or clump",medium,Not native to North America - native to Europe and Asia,none,edible landscaping
Bok Choy,full/partial shade,well drained,consistent,2 to 11,annual,2,1 to 2 feet,1 to 1.5 feet,45 days,n/a,medium green,"cushion, mound, or clump",low,"Not native to North America - not known in the wild. Probably developed from selections of oil seed varieties in China about 2,000 years ago",none,edible landscaping
Broccoli,full,well drained,consistent,2 to 11,annual,2,2 to 3 feet,2 to 3 feet,50 - 100 days,yellow,medium green,upright,medium,Not native to North America - not known in the wild. Descended from wild Mediterranean kale.,none,edible landscaping
Brussel Sprouts,full,well drained ,consistent,2 to 9,annual,2,2 to 3 feet ,1.5 to 2 feet,26 - 31 weeks,n/a,medium green,upright,high,Not native to North America - not known in the wild. Descended from wild Mediterranean kale.,Frost improves flavor.  Harvest often continues until Christmas or later in some warmer areas,none
Cabbage,full,well drained,consistent,1 to 9,annual,2,1 to 2 feet,1.5 to 3 feet,60 - 100 days,green,"green, red, and purple","cushion, mound, or clump",low,Not native to North America - not known in the wild. Descended from wild Mediterranean kale.,none,edible landscaping
Carrots,full,well drained,consistent,3 to 10,annual,1,n/a (root),1 to 2 feet,70 - 80 days,n/a,medium green,"cushion, mount, or clump",low,Not native to North America - Mediterranean origin. First orange carrots probably developed in The Netherlands about 1600.,none,edible landscaping
