veggie_name,Artichokes,Arugula,Asparagus,Beets,Bok Choy,Broccoli,Brussel Sprouts,Bush beans (green beans),Cabbage,Carrots,Cauliflower,Celery,Chives,Collards,Corn,Cucumbers,Eggplant,Garlic,Kale,Leeks,Lettuce,Mustard Greens,Onions,Parsnips,Peas,Peppers,Pole beans(green beans),Potatoes,Pumpkin,Radishes,Rhubarb,Rutabaga,Shallots,Spinach,Summer Squash,Swiss Chard,Tomatoes,Turnips,Winter Squash
Artichokes,0.0,0.10662536687549085,0.09564752851341052,0.16555472831075102,0.11822450191879219,0.09713630935805662,0.10731812055302303,0.12132230803314503,0.11332255931234703,0.11378683692321168,0.10898933683836942,0.15406358452305602,0.1116559307999132,0.13213246226296882,0.11598299702537018,0.12333058178922296,0.09812711870499014,0.08642077093294998,0.11862381186288506,0.10319559140863988,0.10584696713645803,0.13457353270742822,0.10368084305265224,0.14135456909480382,0.14415880823314764,0.10256408184739751,0.11808271832473616,0.0938987361352498,0.1295129171431958,0.1265211324784845,0.16977108929070783,0.1236326484540834,0.09657353748224473,0.09473062742755933,0.11370109353508251,0.11772411060676025,0.10744898265845215,0.14118151323464245,0.11712129410345651
Arugula,0.10662536687549085,0.0,0.07184178053470969,0.14751819422532653,0.13248757503869857,0.08378363853570514,0.09016060442056417,0.09588716056577495,0.10399283095053402,0.09228792140548214,0.09915639602781134,0.1365383574945912,0.08113785173680343,0.1178407934377107,0.1038071478187319,0.10354243644402172,0.13440113747869864,0.06841609063059739,0.07223898301379328,0.12165986692899278,0.07633972945137124,0.11699846089279975,0.0840638339888099,0.1404685562623652,0.1279752655235873,0.06462269407645294,0.09662222293961908,0.07639312155648781,0.10712738899635277,0.11924169370195126,0.13069115445836565,0.13796382376537186,0.08722014270860612,0.06794846579796587,0.11110798121031673,0.11880831193436736,0.08738546460495455,0.14670153360668026,0.12323257419829758
Asparagus,0.09564752851341052,0.07184178053470969,0.0,0.1604143005130736,0.10727865353746635,0.047656119283166154,0.07452455523852952,0.06013715201237868,0.07957609348626393,0.058942122446750345,0.0893555028592905,0.09360635405411222,0.06707644122620082,0.11978712032269889,0.06988056589911662,0.0755820020147463,0.11185364953080268,0.04858026841476604,0.08519295647580905,0.11975324554966327,0.048707658648409646,0.1356002223935453,0.05400781398488652,0.1287746130664249,0.09693687489680247,0.05386723240142488,0.06086106213773579,0.04724231193639994,0.08854709685567597,0.11481964207373785,0.13162611634913857,0.11684981041542397,0.0863556613295915,0.04075895770358129,0.07639190725113831,0.12874478341225803,0.06230750541121399,0.14093960703703545,0.09054578541997782
Beets,0.16555472831075102,0.14751819422532653,0.1604143005130736,0.0,0.14714905174366366,0.17783915006672057,0.15591244572925345,0.1599390513398209,0.1576829701437289,0.1740460147739643,0.17293906683271498,0.202767216435622,0.17327030559398282,0.16881238452040437,0.17625977810621585,0.15413934824874187,0.17363820668450258,0.16792265322318,0.16476259368882307,0.15288006317041114,0.1710071087270859,0.18595424946882133,0.15786096142382777,0.18333721504254374,0.17730005162068962,0.15298884827349113,0.1563442401812054,0.15398048284911292,0.17749710425952425,0.11012820366070364,0.17873150393297332,0.14254020658462552,0.1509890282439953,0.15532681229526302,0.185652701988404,0.15167774105483067,0.1617310472939728,0.13687944991687506,0.18178419085136677
Bok Choy,0.11822450191879219,0.13248757503869857,0.10727865353746635,0.14714905174366366,0.0,0.10179525944853685,0.1207951363768549,0.12234111642190504,0.1130468626209492,0.11967185049820173,0.11719190086066034,0.1488842555828943,0.11201796984378731,0.10682615677241436,0.12489758076662405,0.12280269477765837,0.11603084046956058,0.11361477741310022,0.1100028196445878,0.09130784715987683,0.11902182900880975,0.10366121477515033,0.11163362589062042,0.12110130732685787,0.13619520296878052,0.1166290436309445,0.11933715593571503,0.1087041346346439,0.1261566731658662,0.12854702120168582,0.14040572496587433,0.08994990794756941,0.10131999756403443,0.10868136229632253,0.1051291489402213,0.1050061100585904,0.1306756439812271,0.1260658144844503,0.09683865577297834
Broccoli,0.09713630935805662,0.08378363853570514,0.047656119283166154,0.17783915006672057,0.10179525944853685,0.0,0.06338594664171049,0.03412854099064011,0.0577641144223453,0.04455102543779077,0.05478666112787256,0.09387191137047779,0.06569975850817455,0.11163890345642924,0.05010201566077188,0.07987169938082428,0.10274015551237636,0.03790064386518577,0.07910850372513512,0.10374448691027216,0.04285950234452052,0.11785797717191504,0.04622714101670189,0.13008905238931845,0.07993245671867055,0.045772868216963136,0.04420223821318603,0.036523761636742536,0.07986310029114718,0.13125083248193536,0.14555859210382793,0.1253500028374831,0.08466947406048586,0.038537739227854306,0.0736487669305681,0.12491061573367945,0.06173124488136428,0.1437670620012499,0.07966757032640537
Brussel Sprouts,0.10731812055302303,0.09016060442056417,0.07452455523852952,0.15591244572925345,0.1207951363768549,0.06338594664171049,0.0,0.09303948025980635,0.07400199289335097,0.09892952196641647,0.09784599365933244,0.15718995141773484,0.09055568833617922,0.13090971721366795,0.1097635993516235,0.1400243696839577,0.11538812183870273,0.07784303881749877,0.09723052680088651,0.10870169206016012,0.09889834740761372,0.13752809813485678,0.07766727405625007,0.12749670176821015,0.11956887472132316,0.08513979309333553,0.08802618485865088,0.08286241967212726,0.11600373098948336,0.1380169970865588,0.14947794550420856,0.13671319823962613,0.08445756910726687,0.07655127419868146,0.1017674623030238,0.1353915651768003,0.08397737517744774,0.1485029015779784,0.10741678341556782
Bush beans (green beans),0.12132230803314503,0.09588716056577495,0.06013715201237868,0.1599390513398209,0.12234111642190504,0.03412854099064011,0.09303948025980635,0.0,0.05762914679420228,0.04451300792566637,0.07176085034961255,0.08880341926928137,0.06998263936441196,0.12133762873530196,0.04866009186505238,0.07337181648757474,0.10870459794128229,0.049554317945776916,0.09475852479926106,0.11648889758892078,0.04226332032634772,0.1303217835269428,0.06080281684179234,0.12919228238771818,0.06725800146088723,0.050390281172308704,0.01553853270280281,0.04015128999466255,0.08217430484988275,0.13855046467342313,0.14402672267223582,0.13101228899992223,0.09651042401293275,0.047854158013740156,0.08242908456448228,0.13523152489160672,0.07683582934246536,0.14931733210444254,0.09126857395374366
Cabbage,0.11332255931234703,0.10399283095053402,0.07957609348626393,0.1576829701437289,0.1130468626209492,0.0577641144223453,0.07400199289335097,0.05762914679420228,0.0,0.06389383511678148,0.07573488326694688,0.09532439692326944,0.07252305221027489,0.12136719118802086,0.07912660784563663,0.10140347368469915,0.09703624275970613,0.06969328593751101,0.0971100936231607,0.10030382904972113,0.06622069586508006,0.12272430465106332,0.0723083079025213,0.12668454098614745,0.09523112484794194,0.0674148231445193,0.061367068759947796,0.06189689410646293,0.09399859820897416,0.14268247510781173,0.1402827488046079,0.12142858757221553,0.09180712171201533,0.06660731132482167,0.08808908062512955,0.12128889213615157,0.08379473360942191,0.1553104745940821,0.08797631382837368
Carrots,0.11378683692321168,0.09228792140548214,0.058942122446750345,0.1740460147739643,0.11967185049820173,0.04455102543779077,0.09892952196641647,0.04451300792566637,0.06389383511678148,0.0,0.05419917937638963,0.07115234091746625,0.06405064240867198,0.1256655632237037,0.040537576111823626,0.06635753916023279,0.11960311370797883,0.0422881884651215,0.09402318090025186,0.11295184608336117,0.03514632306746057,0.13759246405899994,0.05579322701817824,0.12233420711536969,0.07537193698031008,0.04486605423107548,0.05088756127752336,0.03412950588717756,0.0727560770676503,0.1173279977001761,0.1408870889690137,0.12752393542203144,0.0939098802709194,0.05013227317209512,0.09508360380490699,0.15288320854861304,0.06962346216893289,0.13877836408739463,0.10522344995288657
