plant,sunlight,soil_condition,moisture_level,hardiness_zones,lifecycle,difficulty,height,spread,time_to_mature,flower_color,foliage_color,shape,frost_tolerance,special_att1,special_att2,special_use,link
Artichokes,full sunlight,well drained,high,"6, 7, 8, 9",perennial,3,3 to 6 feet,2 to 4 feet,85 - 100 days,violet,light green,spreading mass/upright,high,Not native to North America,none,edible landscaping,https://www.almanac.com/plant/artichokes
Arugula,full sunlight or partial shade,low fertility,medium,"3, 4, 5, 6, 7, 8, 9, 10, 11",annual,1,1 to 2 feet,0.5 to 1 foot,4 - 7 weeks,white,medium green,"cushion, mound, upright",medium,Not native to North America,none,edible flowers,https://www.almanac.com/plant/arugula
Asparagus,full sunlight or partial shade,well drained,low,"2, 3, 4, 5, 6, 7, 8",perennial,2,5 to 9 feet,2 to 2.5 feet,2 - 3 years,green,light green,upright,low,Not native to North America,"Bears ornamental fruit - small, bright red berries on open-pollinated cultivars",edible landscaping,https://www.almanac.com/plant/asparagus
Bush beans,full,well drained,medium,"3, 4, 5, 6, 7, 8, 9, 10",annual,1,1 to 3 feet,1 to 2 feet,50 - 60 days,white,medium green,spreading mass,low,"Not native to North America but cultivated worldwide for 7,000 years",Bears ornamental fruit - some varieties have purple or yellow pods,edible landscaping,https://www.almanac.com/plant/beans
Beets,full sunlight or partial shade,low fertility,consistent,"2, 3, 4, 5, 6, 7, 8, 9, 10",annual,1,3 to 5 inches,0.5 to 1 foot,7 - 8 weeks,n/a,medium green,"cushion, mound, or clump",medium,Not native to North America - native to Europe and Asia,none,edible landscaping,https://www.almanac.com/plant/beets
Bok Choy,full sunlight or partial shade,well drained,consistent,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11",annual,2,1 to 2 feet,1 to 1.5 feet,45 days,n/a,medium green,"cushion, mound, or clump",low,"Not native to North America - not known in the wild. Probably developed from selections of oil seed varieties in China about 2,000 years ago",none,edible landscaping,https://www.gardeningknowhow.com/edible/vegetables/bok-choy/planting-bok-choy.htm
Broccoli,full,well drained,consistent,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11",annual,2,2 to 3 feet,2 to 3 feet,50 - 100 days,yellow,medium green,upright,medium,Not native to North America - not known in the wild. Descended from wild Mediterranean kale.,none,edible landscaping,https://www.almanac.com/plant/broccoli
Brussel Sprouts,full,well drained ,consistent,"2, 3, 4, 5, 6, 7, 8, 9",annual,2,2 to 3 feet ,1.5 to 2 feet,26 - 31 weeks,n/a,medium green,upright,high,Not native to North America - not known in the wild. Descended from wild Mediterranean kale.,Frost improves flavor.  Harvest often continues until Christmas or later in some warmer areas,none,https://www.almanac.com/plant/brussels-sprouts
Cabbage,full,well drained,consistent,"1, 2, 3, 4, 5, 6, 7, 8, 9",annual,2,1 to 2 feet,1.5 to 3 feet,60 - 100 days,green,"green, red, and purple","cushion, mound, or clump",low,Not native to North America - not known in the wild. Descended from wild Mediterranean kale.,none,edible landscaping,https://www.almanac.com/plant/cabbage
Carrots,full,well drained,consistent,"3, 4, 5, 6, 7, 8, 9, 10",annual,1,n/a (root),1 to 2 feet,70 - 80 days,n/a,medium green,"cushion, mount, or clump",low,Not native to North America - Mediterranean origin. First orange carrots probably developed in The Netherlands about 1600.,none,edible landscaping,https://www.almanac.com/plant/carrots
Cauliflower,full,well drained,consistent,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11",annual,3,1 to 2 feet,1.3 to 3 feet,50 - 100 days (7-12 days after blanching),n/a,medium/dark green,"cushion, mound, or clump",low,Not native to North America - not known in the wild. Descended from wild Mediterranean kale.,none,none,https://www.almanac.com/plant/cauliflower
Celery,full sunlight or partial shade,rich and damp,high,"8, 9, 10",annual,3,1 to 1.5 feet,4 to 6 inches,120 - 140 days,n/a,medium green,"cushion, mount, or clamp/upright",medium,Not native to North America - Mediterranean origin.,none,none,https://www.almanac.com/plant/celery
Chives,full sunlight or partial shade,low fertility and damp,medium,"3, 4, 5, 6, 7, 8, 9",perennial,1,0.5 to 1 foot,1 foot,60 days,"red, violet, white, pink",medium green,"cushion, mound, or clump/upright, grass-like",low,Not native to North America - Mediterranean origin,Evergreen - In cold areas dies back to the ground and deer resistant.,"cut flowers, edible flowers, and edible landscaping",https://www.almanac.com/plant/chives
Collards,full,well drained,consistent,"6, 7, 8, 9, 10, 11",annual,1,1.5 feet to 3 feet,1 to 2 feet,60 - 75 days,n/a,medium/dark green,"cushion, mound, or clump/upright",high,Gentle frost exposure improves flavor,none,edible landscaping ,https://www.gardeningknowhow.com/edible/vegetables/greens/growing-collard-greens.htm
Corn,full,well drained and high fertility,high,"4, 5, 6, 7, 8, 9",annual,2,4 to 6 feet,1 to 1.5 feet,60 - 100 days,n/a,medium green,upright,low,Native to North America - probably first domesticated in southern or central Mexico.,none,none,https://www.almanac.com/plant/corn
Cucumbers,full,well drained and high fertility,high,"4, 5, 6, 7, 8, 9, 10, 11, 12",annual,1,1 to 6 feet,1 to 6 feet,50 - 70 days,yellow,medium green,"upright, climbing/vining",low,Not native to North America - probably originated in India before spreading to Africa and Southeast Asia.,"Bears ornamental fruit - The wide variety of size, shape and color of fruits can be used for ornamental effects. Trellised so fruits are more visible.",edible landscaping,https://www.gardeningknowhow.com/edible/vegetables/greens/growing-mustard-greens.htm
Eggplant,full,well drained and high fertility,moderate,"5, 6, 7, 8, 9, 10, 11, 12",tender annual,2,2 to 4 feet,2 to 4 feet,100 - 120 days,violet,medium green,upright,low,Not native to North America - native to Asia. Large-fruited cultivars originated in India. Smaller-fruited varieties originated in China.,"Bears ornamental fruit - in addition to the familiar deep purple, oval, glossy fruits, some varieties produce long, thin fruits or small, ball-shaped fruit. Other colors include white, green and orange.",edible landscaping,https://www.almanac.com/plant/eggplant
Garlic,full,well drained and high fertility,low,"1, 2, 3, 4, 5",annual,1,1 to 2 feet,0.5 to 1 foot,6 to 7 months,n/a,medium green,upright,medium,Not native to North America,none,edible flowers,https://ww.almanac.com/plant/garlic
Kale,full sunlight or partial shade,well drained,consistent,"7, 8, 9",annual,1,1.5 to 3 feet,1 to 3 feet,55 - 75 days,n/a,"light, medium, and dark green, red and purple","cushion, mound, or clump/upright",high,Gentle frost exposure improves flavor,none,edible landscaping,https://www.almanac.com/plant/kale
Leeks,full sunlight or partial shade,well drained and high fertility,consistent,"7, 8",annual,2,2 to 3 feet,0.5 to 1 foot,120 - 150 days,n/a,medium and dark green,upright/fan-shaped,medium (more tolerant than other onions),"Not native to North America - cultivated in Egypt more than 4,000 years ago.",none,edible landscaping,https://www.almanac.com/video/growing-leeks-seed
